単語,意味
agree,賛成する
answer,～に答える
arrive,到着する
ask,～を訪ねる
become,～になる、手に入れる
believe,～を信じる
borrow,～を借りる
break,壊す
bring,～を持ってくる
build,建てる
burn,燃える
buy,～を買う
call,～に電話する
carry,～を運ぶ
catch,～をつかまえる
cause,～を引き起こす
change,～を変える
clean,～を掃除する
climb,～に登る
close,閉じる
collect,～を集める
come,来る
communicate,伝える
complain,不満を言う
cook,料理する
cross,横切る
cry,泣く
dance,おどる
decide,～を決める
die,死ぬ
draw,（線を）引く
drive,運転する
eat,～を食べる
encourage,勇気づける
enjoy,～を楽しむ
exchange,～を交換する
explain,～だと説明する
fall,落ちる
feel,～と感じる
find,～を見つける
finish,～を終える
fly,飛ぶ
forget,～を忘れる
get,～を得る
give,～を与える
go,行く
grow,成長する
guess,～を推測する
happen,起こる
have,～を持っている
hear,～を聞く
help,助ける
hold,～を開く
hope,～を望む
introduce,～を紹介する
invite,～を招待する
join,～に参加する
keep,～をもち続ける
know,～を知っている
laugh,笑う
learn,～を学ぶ
leave,～を出発する
lend,貸す
like,～を好む、～が好き
listen,～を聞く
live,住んでいる
lose,～を失う
love,～を愛する
make,～を作る
mean,～を意味する
meet,～に会う
miss,しそこなう、いなくて寂しい
move,動かす
need,～が必要である
paint,（絵具、ペンキで）ぬる
pass,通る、（時が）たつ
play,（スポーツなど）をする、（楽器）を演奏する
pollute,汚染する
practice,～を練習する
put,～を置く
rain,雨が降る
read,～を読む
remember,～を思い出す、覚えている
return,帰る、返す
rise,昇る
run,走る
save,救う、節約する
say,～と言う
see,～が見える
sell,～を売る
shout,叫ぶ
show,～を見せる
sing,～を歌う
sit,すわる
sleep,眠る
smile,ほほえむ
solve,解決する
speak,～を話す
spend,過ごす、費やす
start,始まる、始める
stay,滞在する
stop,～をやめる
study,～を勉強する
surprise,驚かす
swim,泳ぐ
swing,ゆれる
take,～に乗る
talk,話す
teach,～を教える
tell,～を話す、教える
think,～と思う
throw,投げる
travel,旅行する
understand,～を理解する
use,～を使う
visit,～を訪れる
wait,待つ
walk,歩く
want,～が欲しい
wash,洗う
waste,むだにする
watch,～を見る
wear,着ている
work,働く
worry,心配する
write,～を書く
